Sector,Camera,CCD,RA_center,DEC_center,ROTATION,RA_corner1,DEC_corner1,RA_corner2,DEC_corner2,RA_corner3,DEC_corner3,RA_corner4,DEC_corner4
18,4,1,291.88570992435245,65.99260840452062,120.81551492869642,309.12582627474256,63.05191117873746,288.45679709686414,57.656433084668485,270.32098949292083,66.5751820543817,298.26811939188883,74.23235674231371
18,4,2,265.33706832081214,75.20123655387864,146.4497279132376,298.03379517290944,74.38756920258763,270.01046953161267,66.68533204064352,238.01597962422704,71.60079804545742,251.65576753532216,82.76150584933885
18,4,3,249.604847176698,64.0500129707488,-19.59008800726665,235.15720157794175,59.893223705231236,237.8877087072508,71.31829928841518,269.5433419561122,66.44802009933974,256.5181119011364,56.263303410575766
18,4,4,272.14277200636883,57.7714616105601,-38.614401412294264,256.78379112285114,56.192140210805114,269.87793805959507,66.34935959300785,288.0372042594145,57.49311297656341,273.4526294175112,49.86973217559887
19,1,1,83.65455572551299,47.38068859253113,179.51127067553443,92.97769109297664,52.606103930592944,91.73759265857358,41.150154412277125,75.48079549557926,40.98186974206227,73.42075991099735,52.817524785392926
19,1,2,65.46706851651217,45.892136024621166,-166.35861374571192,73.1418128175624,52.78396907874931,75.21865831583803,40.99315412240105,59.652361151541534,38.55822758753314,54.97425366820621,49.543386050549124
19,1,3,68.6732493117113,33.84126556196263,9.554725616336714,63.48823668232105,27.274148985537582,59.733520896829454,38.31961272099578,75.29076667840458,40.69914051858609,76.76207813520939,28.85580669435169
19,1,4,83.83613730066502,35.07151538665507,1.765800935814787,76.95995264278626,28.87267163033644,75.52963755688408,40.725244284677096,91.70529133109122,40.89161291436064,90.48206307458057,29.44578151386261
19,2,1,85.29825414394674,71.16186265561747,174.89351373163717,109.42181473057187,75.05748900177524,98.26434957820692,64.19995445647062,69.69600055427172,64.72726719039815,60.55926859363102,76.27084266473047
19,2,2,49.42584798613266,68.30193731839398,-150.16769934667883,59.86211646081236,76.22132250597421,69.28711256656959,64.70623411371122,44.67077729930058,60.05498480325203,27.56847445816005,68.98226272382206
19,2,3,60.29939590515905,56.99607998732216,18.09591121296098,54.71924843958279,49.78562510433832,44.96334697843641,59.82554542162283,69.39803644100718,64.42319931471397,73.06134367438158,52.674685820631964
