Dates Flux Corrflux Xpos Ypos
2229.300179 2490289.814266 1.0489823537899807 7.575205 6.168489
2229.300861 2501792.093377 1.0509071102990872 7.564919 6.159241
2229.301542 2503549.03729 1.0519579987844352 7.564772 6.162202
2229.302223 2502249.875095 1.0505865287281206 7.564113 6.156009
2229.302904 2503938.977283 1.0518136245777883 7.564 6.160718
2229.303585 2498664.005837 1.049316277020037 7.566396 6.154507
2229.304266 2513042.463747 1.05231235709025 7.554278 6.146632
2229.304947 2502573.422022 1.0475380676378927 7.559441 6.135064
2229.305628 2502757.514429 1.0508243222610856 7.563909 6.156544
2229.306309 2507900.985656 1.0517296080517433 7.559561 6.152316
2229.30699 2514822.789806 1.0509909176581553 7.550859 6.133405
2229.308353 2514431.977412 1.0505708751067795 7.54998 6.132448
2229.311077 2520660.998882 1.051662624905793 7.544814 6.126721
2229.311758 2512843.284194 1.0488836122458272 7.550132 6.122856
2229.312439 2520100.449984 1.0506294669438434 7.543735 6.121018
2229.31312 2519640.663812 1.050614373580367 7.544219 6.1219
2229.313801 2520478.505966 1.0509551222436455 7.542881 6.123911
2229.314482 2518596.577896 1.0488839601393145 7.539354 6.117406
2229.315163 2524850.132431 1.0517531389374413 7.539838 6.119132
2229.315844 2523728.493108 1.0503920809837122 7.539184 6.111741
2229.317207 2527506.663427 1.0503633101474346 7.531063 6.109141
2229.317888 2525533.145903 1.0509787763654044 7.536764 6.113966
2229.318569 2529575.796412 1.0507525985580772 7.527946 6.109458
2229.319931 2526904.460554 1.0501726700939096 7.530006 6.111368
2229.320612 2526340.952044 1.0502432933356993 7.531872 6.111387
2229.321293 2536889.72365 1.0530894601898266 7.521435 6.112808
2229.321974 2531727.602458 1.051528738510924 7.524404 6.11385
2229.322655 2531349.739924 1.0506452018855663 7.521423 6.111408
2229.323336 2532258.649334 1.0508882383019693 7.521054 6.110665
2229.324017 2529782.819706 1.0506528930796126 7.525553 6.111392
2229.324699 2537460.562689 1.0525481132238177 7.516022 6.113608
2229.32538 2536665.889624 1.0522821863517111 7.516439 6.113587
2229.326061 2538999.710172 1.0518522857512116 7.50694 6.114449
2229.326742 2532161.268681 1.0510838251953316 7.522607 6.110557
2229.327423 2535517.117046 1.0512377390283438 7.513232 6.112951
2229.328104 2542020.86338 1.055063650869831 7.514855 6.121567
2229.328785 2539513.792253 1.0518823633509375 7.505719 6.114503
2229.329466 2539823.660695 1.0521018927259074 7.505989 6.115006
2229.330147 2537967.024229 1.0516263015807044 7.508803 6.113578
2229.330828 2538571.093966 1.0515927792748445 7.506794 6.113847
2229.331509 2544046.792121 1.0537674011978777 7.504735 6.116116
2229.33219 2544428.521427 1.0535717820636414 7.502126 6.116597
2229.332872 2542763.967718 1.0531731703036995 7.50449 6.115861
2229.333553 2539038.805921 1.0517426946181534 7.506203 6.114326
2229.334915 2543285.479218 1.0525644350148606 7.498849 6.116241
2229.335596 2543137.741528 1.0529125386832494 7.501661 6.116049
2229.336277 2542070.471856 1.0519774127507633 7.49878 6.11548
2229.336958 2551303.663576 1.0547557562932388 7.489174 6.119646
2229.337639 2544436.204987 1.05297750397605 7.498182 6.116632
2229.33832 2546965.239914 1.0534240356291504 7.493347 6.117966
2229.339001 2553630.782906 1.0547331724953282 7.480546 6.122672
2229.340363 2551461.952905 1.0542346978842905 7.484875 6.120158
2229.341045 2546090.732773 1.0523360642387596 7.488361 6.118121
2229.341726 2555190.510925 1.0553856873779524 7.480738 6.122461
2229.342407 2548881.926208 1.0533905892527013 7.486416 6.12011
2229.343088 2554124.020942 1.0552658760941578 7.480968 6.125531
2229.343769 2549512.406446 1.0533045131723078 7.483319 6.121259
2229.34445 2553186.386755 1.05428387075142 7.479213 6.121892
2229.345131 2550438.778245 1.053630779719835 7.483638 6.120157
2229.345812 2552647.711394 1.054109661539436 7.47962 6.121777
2229.346493 2551860.606492 1.0537885256259052 7.479901 6.12138
2229.347174 2551701.457407 1.0535848277488187 7.478398 6.122236
2229.347855 2562046.005949 1.0569234100881488 7.465216 6.132653
2229.348536 2557337.392358 1.0550322893686748 7.470283 6.125303
2229.349899 2555408.699211 1.0545547680446545 7.469827 6.12952
2229.35058 2561544.310364 1.056699404978498 7.463198 6.135618
2229.351261 2552118.401897 1.0533755850731088 7.475049 6.123318
